epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
160,12380.4,1.4563,1.48912,1.92708,0.93262,0.84714,0.91239,0.67045,1.07682,0.92018,1.86665,0.000655077,0.000655077,0.000655077
161,12460.4,1.38737,1.43395,1.89293,0.92444,0.85089,0.91217,0.65273,1.12189,0.91878,1.90596,0.000647706,0.000647706,0.000647706
162,12526,1.40185,1.43639,1.91122,0.91221,0.85086,0.90913,0.6605,1.17691,0.88551,1.93977,0.000640344,0.000640344,0.000640344
163,12606.1,1.4466,1.5161,1.92777,0.91127,0.90849,0.92166,0.6705,1.10864,0.90034,1.86907,0.00063299,0.00063299,0.00063299
164,12686,1.40747,1.42031,1.88622,0.89159,0.90688,0.9217,0.68694,1.0925,0.8669,1.85626,0.000625646,0.000625646,0.000625646
165,12752.3,1.41363,1.48389,1.90313,0.88053,0.8691,0.91608,0.67892,1.06996,0.9005,1.83046,0.000618312,0.000618312,0.000618312
166,12835.3,1.38679,1.45248,1.91744,0.89274,0.85813,0.91241,0.67398,1.07221,0.85765,1.85672,0.00061099,0.00061099,0.00061099
167,12914.6,1.42502,1.47758,1.92279,0.88969,0.86982,0.91423,0.67523,1.07336,0.86239,1.84496,0.00060368,0.00060368,0.00060368
168,12981.9,1.40957,1.50811,1.9237,0.85639,0.87497,0.91549,0.68421,1.07462,0.91014,1.85829,0.000596383,0.000596383,0.000596383
169,13062.1,1.42165,1.45089,1.91805,0.88028,0.88079,0.90975,0.68437,1.07918,0.92244,1.83068,0.0005891,0.0005891,0.0005891
170,13142,1.38413,1.39048,1.87975,0.86416,0.87477,0.90976,0.67332,1.07347,0.9225,1.83806,0.000581831,0.000581831,0.000581831
171,13207.7,1.3902,1.42179,1.89674,0.90147,0.84454,0.91146,0.67849,1.10982,0.90309,1.87415,0.000574578,0.000574578,0.000574578
172,13289.4,1.40299,1.40589,1.88116,0.89008,0.86804,0.91408,0.66315,1.12693,0.85442,1.87703,0.00056734,0.00056734,0.00056734
173,13369.3,1.40963,1.46488,1.90667,0.91512,0.84232,0.91959,0.66537,1.06462,0.86158,1.83891,0.00056012,0.00056012,0.00056012
174,13433.6,1.37149,1.3783,1.83621,0.91898,0.85518,0.91281,0.67026,1.09651,0.87848,1.85275,0.000552917,0.000552917,0.000552917
175,13514.4,1.37932,1.40311,1.87507,0.90957,0.9021,0.91265,0.68461,1.05399,0.86664,1.79401,0.000545733,0.000545733,0.000545733
176,13594.6,1.35023,1.34755,1.84123,0.87984,0.8806,0.90978,0.67829,1.06626,0.86677,1.86087,0.000538568,0.000538568,0.000538568
177,13666.8,1.37765,1.39748,1.87271,0.92693,0.8784,0.9133,0.69824,1.03402,0.87554,1.81021,0.000531423,0.000531423,0.000531423
178,13746.7,1.34706,1.37929,1.84699,0.86426,0.86902,0.9022,0.68995,1.05309,0.88246,1.81279,0.000524299,0.000524299,0.000524299
179,13827.2,1.40492,1.45434,1.89703,0.94364,0.85711,0.90505,0.69555,1.03223,0.85542,1.81423,0.000517197,0.000517197,0.000517197
